ID_Progreso,ID_Usuario,ID_Plan,Porcentaje_Completado,Fecha_Actualizacion,Tipo_Plan
PROG-00149,USR-02951,PLAN-007,39.0,2025-03-18,Meditación
PROG-00150,USR-01804,PLAN-042,90.0,2025-04-08,Cardio
PROG-00151,USR-03489,PLAN-007,88.0,2025-01-28,Yoga
PROG-00152,USR-01648,PLAN-094,26.0,2024-12-18,Fuerza
PROG-00153,USR-04569,PLAN-083,4.0,2024-12-19,Yoga
PROG-00154,USR-02100,PLAN-030,31.0,2025-08-22,Fuerza
PROG-00155,USR-06779,PLAN-007,91.0,2025-01-31,Fuerza
PROG-00156,USR-05075,PLAN-061,46.0,2024-11-24,Fuerza
PROG-00157,USR-01318,PLAN-012,28.0,2025-04-11,Meditación
PROG-00158,USR-01752,PLAN-012,70.0,2025-07-20,Cardio
PROG-00159,USR-04406,PLAN-071,10.0,2024-12-14,Fuerza
PROG-00160,USR-03949,PLAN-023,85.0,2025-04-09,Meditación
PROG-00161,USR-06389,PLAN-002,99.0,2024-10-11,Meditación
PROG-00162,USR-04924,PLAN-036,38.0,2025-08-11,Cardio
PROG-00163,USR-04747,PLAN-042,13.0,2025-04-26,Fuerza
PROG-00164,USR-07375,PLAN-055,35.0,2025-03-06,Fuerza
PROG-00165,USR-01939,PLAN-045,27.0,2024-12-13,Meditación
PROG-00166,USR-00067,PLAN-090,26.0,2025-01-28,Yoga
PROG-00167,USR-00885,PLAN-022,86.0,2025-03-29,HIIT
PROG-00168,USR-04633,PLAN-002,51.0,2025-03-07,Fuerza
PROG-00169,USR-04615,PLAN-035,68.0,2025-05-10,HIIT
PROG-00170,USR-01375,PLAN-067,18.0,2025-07-04,Fuerza
PROG-00171,USR-01088,PLAN-058,100.0,2024-12-21,Yoga
PROG-00172,USR-00401,PLAN-039,100.0,2024-10-25,Fuerza
PROG-00173,USR-01927,PLAN-092,88.0,2024-12-12,Yoga
PROG-00174,USR-07836,PLAN-033,50.0,2024-10-11,Fuerza
PROG-00175,USR-00645,PLAN-069,68.0,2025-05-31,Cardio
PROG-00176,USR-04260,PLAN-065,47.0,2024-12-04,Fuerza
PROG-00177,USR-04753,PLAN-005,40.0,2024-11-15,Yoga
PROG-00178,USR-03722,PLAN-044,,2024-11-05,Fuerza
PROG-00179,USR-04309,PLAN-059,94.0,2025-04-18,Yoga
PROG-00180,USR-03039,PLAN-069,18.0,2024-12-27,Meditación
PROG-00181,USR-03746,PLAN-091,89.0,2024-11-29,Fuerza
PROG-00182,USR-05950,PLAN-031,87.0,2025-05-07,Yoga
PROG-00183,USR-01398,PLAN-028,,2025-05-27,HIIT
PROG-00184,USR-00900,PLAN-017,78.0,2025-04-03,Cardio
PROG-00185,USR-05689,PLAN-044,51.0,2025-02-16,Meditación
PROG-00186,USR-02070,PLAN-075,96.0,2025-03-02,Fuerza
PROG-00187,USR-03244,PLAN-078,11.0,2025-07-03,HIIT
PROG-00188,USR-04787,PLAN-041,13.0,2025-03-15,Yoga
PROG-00189,USR-06465,PLAN-094,16.0,2025-03-20,Fuerza
PROG-00190,USR-03581,PLAN-050,98.0,2025-06-11,Fuerza
PROG-00191,USR-04808,PLAN-064,17.0,2025-08-02,Yoga
PROG-00192,USR-02804,PLAN-055,96.0,2024-11-24,Cardio
PROG-00193,USR-07419,PLAN-094,82.0,2025-05-24,HIIT
PROG-00194,USR-01906,PLAN-062,15.0,2024-10-27,Fuerza
PROG-00195,USR-05645,PLAN-057,27.0,2025-02-09,HIIT
PROG-00196,USR-02907,PLAN-008,18.0,2025-04-12,Meditación
PROG-00197,USR-06293,PLAN-029,60.0,2024-12-10,Fuerza
PROG-00198,USR-01969,PLAN-098,65.0,2025-03-16,HIIT
PROG-00199,USR-07022,PLAN-074,34.0,2024-10-25,Cardio
PROG-00200,USR-04165,PLAN-062,20.0,2025-06-23,Yoga
PROG-00201,USR-01124,PLAN-088,90.0,2024-11-30,Fuerza
PROG-00202,USR-05913,PLAN-040,20.0,2025-05-13,Meditación
PROG-00203,USR-06308,PLAN-067,67.0,2025-07-02,Fuerza
PROG-00204,USR-01942,PLAN-023,34.0,2024-09-19,Meditación
PROG-00205,USR-02835,PLAN-009,98.0,2025-03-17,Fuerza
PROG-00206,USR-02054,PLAN-015,3.0,2025-06-07,HIIT
PROG-00207,USR-07345,PLAN-010,18.0,2025-05-11,Meditación
PROG-00208,USR-06801,PLAN-031,54.0,2024-12-12,Meditación
PROG-00209,USR-07357,PLAN-081,86.0,2025-01-01,Cardio
PROG-00210,USR-00750,PLAN-010,19.0,2025-07-11,Fuerza
PROG-00211,USR-06926,PLAN-097,14.0,2025-01-25,HIIT
PROG-00212,USR-06056,PLAN-093,93.0,2024-11-24,HIIT
PROG-00213,USR-07479,PLAN-055,6.0,2024-10-06,Yoga
PROG-00214,USR-03808,PLAN-079,31.0,2024-12-19,Yoga
PROG-00215,USR-04478,PLAN-009,25.0,2025-07-30,Meditación
PROG-00216,USR-03566,PLAN-008,28.0,2025-05-26,Meditación
PROG-00217,USR-01473,PLAN-004,61.0,2025-09-11,Cardio
PROG-00218,USR-03062,PLAN-034,44.0,2025-07-12,Cardio
PROG-00219,USR-04825,PLAN-013,80.0,2024-09-14,Cardio
PROG-00220,USR-06854,PLAN-025,13.0,2025-07-17,Meditación
PROG-00221,USR-03322,PLAN-003,17.0,2025-04-23,Meditación
PROG-00222,USR-02901,PLAN-045,50.0,2025-01-08,HIIT
PROG-00223,USR-01045,PLAN-007,58.0,2025-09-10,Fuerza
PROG-00224,USR-07217,PLAN-020,24.0,2025-03-04,Fuerza
PROG-00225,USR-07780,PLAN-001,53.0,2025-01-09,Fuerza
PROG-00226,USR-07739,PLAN-046,32.0,2025-01-15,HIIT
PROG-00227,USR-00908,PLAN-098,58.0,2024-12-01,Meditación
PROG-00228,USR-00065,PLAN-070,56.0,2025-04-08,Cardio
PROG-00229,USR-00787,PLAN-042,93.0,2025-06-24,HIIT
PROG-00230,USR-07868,PLAN-072,13.0,2024-10-01,Fuerza
PROG-00231,USR-03658,PLAN-047,49.0,2025-02-07,Cardio
PROG-00232,USR-05238,PLAN-054,61.0,2024-09-17,HIIT
PROG-00233,USR-07066,PLAN-023,42.0,2024-11-21,Meditación
PROG-00234,USR-03967,PLAN-046,10.0,2025-03-24,HIIT
PROG-00235,USR-06453,PLAN-058,61.0,2025-05-07,Yoga
PROG-00236,USR-06732,PLAN-042,56.0,2025-02-10,Cardio
PROG-00237,USR-04254,PLAN-022,54.0,2025-08-08,HIIT
PROG-00238,USR-03915,PLAN-076,61.0,2025-07-29,Cardio
PROG-00239,USR-04587,PLAN-099,85.0,2024-12-17,Yoga
PROG-00240,USR-04726,PLAN-080,98.0,2025-06-02,Fuerza
PROG-00241,USR-05532,PLAN-014,79.0,2024-10-18,HIIT
PROG-00242,USR-04616,PLAN-024,49.0,2024-11-06,Yoga
PROG-00243,USR-07062,PLAN-050,70.0,2024-11-10,HIIT
PROG-00244,USR-02587,PLAN-028,18.0,2025-02-17,Meditación
PROG-00245,USR-04855,PLAN-066,12.0,2025-02-14,Yoga
PROG-00246,USR-00207,PLAN-041,71.0,2024-09-18,Fuerza
PROG-00247,USR-05590,PLAN-075,5.0,2025-07-27,Yoga
PROG-00248,USR-07462,PLAN-070,47.0,2025-06-01,Yoga
PROG-00249,USR-05710,PLAN-007,10.0,2024-11-05,Yoga
PROG-00250,USR-03653,PLAN-002,62.0,2025-04-28,HIIT
PROG-00251,USR-07803,PLAN-054,80.0,2024-09-22,Meditación
PROG-00252,USR-03021,PLAN-069,,2024-10-16,Fuerza
PROG-00253,USR-02448,PLAN-041,83.0,2024-12-27,Meditación
PROG-00254,USR-07467,PLAN-015,55.0,2025-06-28,Meditación
PROG-00255,USR-02751,PLAN-053,19.0,2025-03-10,Yoga
PROG-00256,USR-01930,PLAN-055,59.0,2024-10-04,HIIT
PROG-00257,USR-04489,PLAN-045,,2024-11-12,Yoga
PROG-00258,USR-04240,PLAN-029,20.0,2025-03-23,Fuerza
PROG-00259,USR-04493,PLAN-033,67.0,2025-04-12,Meditación
PROG-00260,USR-06778,PLAN-076,75.0,2024-12-11,HIIT
PROG-00261,USR-01151,PLAN-088,42.0,2025-05-12,Yoga
PROG-00262,USR-05464,PLAN-018,69.0,2025-07-28,Fuerza
PROG-00263,USR-07193,PLAN-067,70.0,2024-09-21,HIIT
PROG-00264,USR-04415,PLAN-081,,2025-02-09,Meditación
PROG-00265,USR-06430,PLAN-040,90.0,2024-10-14,Meditación
PROG-00266,USR-05430,PLAN-039,39.0,2025-01-05,Meditación
PROG-00267,USR-07013,PLAN-038,93.0,2025-07-03,Fuerza
PROG-00268,USR-04735,PLAN-031,,2025-01-20,Yoga
PROG-00269,USR-02043,PLAN-088,40.0,2025-02-05,HIIT
PROG-00270,USR-06182,PLAN-070,75.0,2025-05-23,HIIT
PROG-00271,USR-04512,PLAN-025,56.0,2025-03-28,Yoga
PROG-00272,USR-00238,PLAN-072,49.0,2025-08-28,Cardio
PROG-00273,USR-06982,PLAN-027,94.0,2025-04-11,Yoga
PROG-00274,USR-06471,PLAN-073,,2025-05-22,Yoga
PROG-00275,USR-07745,PLAN-078,89.0,2024-12-30,Fuerza
PROG-00276,USR-02099,PLAN-052,19.0,2025-04-15,Fuerza
PROG-00277,USR-00865,PLAN-021,24.0,2025-01-25,HIIT
PROG-00278,USR-05082,PLAN-006,6.0,2024-11-15,Fuerza
PROG-00279,USR-02183,PLAN-079,98.0,2025-04-25,Cardio
PROG-00280,USR-00949,PLAN-056,35.0,2025-07-06,Fuerza
PROG-00281,USR-03952,PLAN-061,47.0,2024-10-09,Fuerza
PROG-00282,USR-01141,PLAN-064,41.0,2025-04-18,HIIT
PROG-00283,USR-04222,PLAN-021,0.0,2024-11-11,Cardio
PROG-00284,USR-02425,PLAN-053,50.0,2025-02-05,Yoga
PROG-00285,USR-03701,PLAN-034,25.0,2025-01-19,Meditación
PROG-00286,USR-02862,PLAN-096,78.0,2025-07-08,HIIT
PROG-00287,USR-00157,PLAN-068,31.0,2025-01-25,Cardio
PROG-00288,USR-05582,PLAN-065,72.0,2024-10-06,Fuerza
PROG-00289,USR-06123,PLAN-041,75.0,2024-09-26,HIIT
PROG-00290,USR-01027,PLAN-029,44.0,2025-02-28,Yoga
PROG-00291,USR-00373,PLAN-048,11.0,2025-04-06,HIIT
PROG-00292,USR-00136,PLAN-043,95.0,2025-08-14,HIIT
PROG-00293,USR-02739,PLAN-006,95.0,2025-07-19,Yoga
PROG-00294,USR-00004,PLAN-003,23.0,2025-03-26,Meditación
PROG-00295,USR-03910,PLAN-034,56.0,2024-12-24,Yoga
PROG-00296,USR-01467,PLAN-008,12.0,2025-02-24,Yoga
PROG-00297,USR-06403,PLAN-070,35.0,2025-03-20,Meditación
PROG-00298,USR-00724,PLAN-069,33.0,2024-10-11,Meditación
PROG-00299,USR-05976,PLAN-047,64.0,2025-04-21,Fuerza
PROG-00300,USR-05033,PLAN-032,21.0,2025-08-18,Cardio
PROG-00301,USR-05788,PLAN-025,45.0,2024-10-30,Cardio
PROG-00302,USR-06482,PLAN-044,9.0,2024-12-24,Cardio
PROG-00303,USR-05704,PLAN-039,28.0,2025-02-28,Cardio
PROG-00304,USR-03558,PLAN-018,60.0,2025-05-05,Yoga
PROG-00305,USR-06361,PLAN-050,51.0,2025-05-01,Fuerza
PROG-00306,USR-03401,PLAN-059,67.0,2024-11-14,Meditación
PROG-00307,USR-02079,PLAN-070,20.0,2025-01-06,Meditación
PROG-00308,USR-02347,PLAN-001,28.0,2025-08-10,Meditación
PROG-00309,USR-00764,PLAN-071,94.0,2025-02-01,HIIT
PROG-00310,USR-05715,PLAN-067,88.0,2025-02-23,Yoga
PROG-00311,USR-05453,PLAN-050,27.0,2025-05-07,HIIT
PROG-00312,USR-01095,PLAN-033,77.0,2025-03-04,Meditación
PROG-00313,USR-02332,PLAN-046,25.0,2024-12-09,Cardio
PROG-00314,USR-06208,PLAN-064,54.0,2024-11-08,Meditación
PROG-00315,USR-04197,PLAN-045,58.0,2025-08-29,Fuerza
PROG-00316,USR-02155,PLAN-045,26.0,2025-04-16,HIIT
PROG-00317,USR-02940,PLAN-001,90.0,2025-01-24,HIIT
PROG-00318,USR-01065,PLAN-063,36.0,2025-05-17,Cardio
PROG-00319,USR-02663,PLAN-088,80.0,2024-11-28,Cardio
PROG-00320,USR-03728,PLAN-095,,2025-07-12,Fuerza
PROG-00321,USR-06697,PLAN-069,89.0,2025-01-23,HIIT
PROG-00322,USR-05177,PLAN-057,55.0,2025-08-13,Meditación
PROG-00323,USR-04241,PLAN-094,64.0,2025-06-16,Fuerza
PROG-00324,USR-02078,PLAN-100,70.0,2025-05-18,Cardio
PROG-00325,USR-00395,PLAN-096,8.0,2024-11-27,Fuerza
PROG-00326,USR-01853,PLAN-078,20.0,2025-02-08,HIIT
PROG-00327,USR-00571,PLAN-064,23.0,2025-03-24,Fuerza
PROG-00328,USR-05856,PLAN-096,38.0,2025-08-22,Yoga
PROG-00329,USR-04651,PLAN-005,67.0,2025-07-01,Yoga
PROG-00330,USR-07965,PLAN-046,12.0,2025-04-15,Meditación
PROG-00331,USR-03339,PLAN-068,93.0,2024-11-12,Yoga
PROG-00332,USR-03668,PLAN-046,80.0,2025-07-13,Fuerza
PROG-00333,USR-05373,PLAN-035,52.0,2025-03-19,Fuerza
PROG-00334,USR-07385,PLAN-080,,2025-07-14,Cardio
PROG-00335,USR-01695,PLAN-022,27.0,2025-06-21,Yoga
PROG-00336,USR-07919,PLAN-055,,2025-07-10,Meditación
PROG-00337,USR-01400,PLAN-095,85.0,2024-12-15,Fuerza
PROG-00338,USR-00920,PLAN-093,,2025-01-27,Yoga
PROG-00339,USR-04361,PLAN-042,81.0,2025-05-04,Cardio
PROG-00340,USR-06798,PLAN-100,72.0,2024-09-16,Yoga
PROG-00341,USR-07561,PLAN-057,14.0,2025-01-09,Cardio
PROG-00342,USR-01005,PLAN-047,71.0,2025-05-16,Cardio
PROG-00343,USR-01041,PLAN-042,43.0,2025-06-07,Meditación
PROG-00344,USR-02077,PLAN-004,6.0,2025-07-05,Fuerza
PROG-00345,USR-01263,PLAN-087,43.0,2025-06-03,Meditación
PROG-00346,USR-05796,PLAN-012,,2025-02-19,Meditación
PROG-00347,USR-06025,PLAN-080,,2025-04-01,Fuerza
PROG-00348,USR-06122,PLAN-035,91.0,2025-06-18,Fuerza
PROG-00349,USR-02060,PLAN-073,82.0,2025-06-04,Yoga
PROG-00350,USR-00135,PLAN-022,47.0,2025-01-05,Meditación
PROG-00351,USR-01879,PLAN-047,10.0,2025-02-02,Fuerza
PROG-00352,USR-03655,PLAN-085,77.0,2025-04-22,HIIT
PROG-00353,USR-07071,PLAN-027,65.0,2024-11-19,Fuerza
PROG-00354,USR-06118,PLAN-095,30.0,2025-04-05,HIIT
PROG-00355,USR-02422,PLAN-072,97.0,2025-02-07,Yoga
PROG-00356,USR-04628,PLAN-087,94.0,2025-08-24,HIIT
PROG-00357,USR-03336,PLAN-080,27.0,2024-11-28,Cardio
PROG-00358,USR-04026,PLAN-062,43.0,2025-02-27,Fuerza
PROG-00359,USR-01938,PLAN-090,83.0,2024-10-01,Fuerza
PROG-00360,USR-07032,PLAN-017,6.0,2024-11-09,Yoga
PROG-00361,USR-06495,PLAN-029,45.0,2024-11-25,Cardio
PROG-00362,USR-04698,PLAN-023,79.0,2024-12-01,Cardio
PROG-00363,USR-05029,PLAN-096,26.0,2025-07-10,Yoga
PROG-00364,USR-06001,PLAN-042,34.0,2025-02-25,Fuerza
PROG-00365,USR-04017,PLAN-089,34.0,2025-04-27,Yoga
PROG-00366,USR-01538,PLAN-083,61.0,2025-07-08,HIIT
PROG-00367,USR-07098,PLAN-092,59.0,2025-05-02,Fuerza
PROG-00368,USR-03764,PLAN-057,55.0,2025-05-26,HIIT
PROG-00369,USR-02197,PLAN-078,93.0,2024-11-02,Yoga
PROG-00370,USR-00844,PLAN-082,41.0,2025-03-19,Fuerza
PROG-00371,USR-07990,PLAN-063,18.0,2025-08-07,Cardio
PROG-00372,USR-01751,PLAN-002,90.0,2025-05-28,Meditación
PROG-00373,USR-06228,PLAN-045,80.0,2025-03-21,Cardio
PROG-00374,USR-00140,PLAN-066,3.0,2024-09-22,HIIT
PROG-00375,USR-02403,PLAN-049,,2025-08-20,Cardio
PROG-00376,USR-00687,PLAN-068,76.0,2025-07-17,Fuerza
PROG-00377,USR-07461,PLAN-059,73.0,2025-05-12,Yoga
PROG-00378,USR-05735,PLAN-023,83.0,2025-05-09,HIIT
PROG-00379,USR-00728,PLAN-060,67.0,2024-09-19,Cardio
PROG-00380,USR-01372,PLAN-075,84.0,2024-12-29,HIIT
PROG-00381,USR-02314,PLAN-002,95.0,2024-11-16,Cardio
PROG-00382,USR-05300,PLAN-007,82.0,2024-10-31,Yoga
PROG-00383,USR-04778,PLAN-062,20.0,2025-05-02,HIIT
PROG-00384,USR-03282,PLAN-073,14.0,2025-08-24,Meditación
PROG-00385,USR-03508,PLAN-080,50.0,2025-08-30,Meditación
