ID_Actividad,ID_Usuario,Fecha_Actividad,Tipo_Evento,Duracion_Minutos,ID_Contenido
ACT-000026,USR-03490,2025-02-12,Interacción con Contenido,67.0,CONT-0171
ACT-000027,USR-00494,2025-05-22,inicio de sesion,71.0,CONT-0089
ACT-000028,USR-05335,2025-08-06,Sesión de Entrenamiento Completada,86.0,CONT-0232
ACT-000029,USR-01832,2024-11-25,inicio de sesion,32.0,CONT-0264
ACT-000030,USR-03822,2024-12-20,Interacción con Contenido,74.0,CONT-0396
ACT-000031,USR-01225,2025-06-27,Interacción con Contenido,78.0,CONT-0364
ACT-000032,USR-04803,2024-11-28,Interacción con Contenido,73.0,CONT-0112
ACT-000033,USR-03469,2025-08-21,inicio de sesion,45.0,CONT-0136
ACT-000034,USR-00525,2025-03-21,Interacción con Contenido,88.0,CONT-0380
ACT-000035,USR-04797,2025-05-24,Sesión de Entrenamiento Completada,9.0,CONT-0466
ACT-000036,USR-03986,2024-10-23,inicio de sesion,83.0,CONT-0285
ACT-000037,USR-02334,2024-11-20,Sesión de Entrenamiento Completada,15.0,CONT-0036
ACT-000038,USR-04623,2024-09-29,inicio de sesion,28.0,CONT-0251
ACT-000039,USR-03690,2024-11-24,Interacción con Contenido,45.0,CONT-0489
ACT-000040,USR-04804,2025-02-06,Interacción con Contenido,88.0,CONT-0308
ACT-000041,USR-02189,2025-06-15,Interacción con Contenido,29.0,CONT-0215
ACT-000042,USR-03089,2025-08-16,Interacción con Contenido,50.0,CONT-0063
ACT-000043,USR-02589,2025-03-23,inicio de sesion,73.0,CONT-0055
ACT-000044,USR-05369,2024-09-15,Interacción con Contenido,22.0,CONT-0420
ACT-000045,USR-03914,2024-10-05,Sesión de Entrenamiento Completada,59.0,CONT-0436
ACT-000046,USR-06704,2025-07-20,inicio de sesion,11.0,CONT-0198
ACT-000047,USR-03252,2025-09-04,Sesión de Entrenamiento Completada,17.0,CONT-0457
ACT-000048,USR-01490,2024-11-25,Interacción con Contenido,60.0,CONT-0239
ACT-000049,USR-05317,2025-04-29,inicio de sesion,45.0,CONT-0211
ACT-000050,USR-06652,2025-09-06,Sesión de Entrenamiento Completada,48.0,CONT-0235
ACT-000051,USR-05482,2025-02-11,inicio de sesion,1.0,CONT-0182
ACT-000052,USR-01254,2025-08-30,Interacción con Contenido,84.0,CONT-0065
ACT-000053,USR-02782,2024-12-30,Interacción con Contenido,28.0,CONT-0469
ACT-000054,USR-00686,2025-07-23,Sesión de Entrenamiento Completada,88.0,CONT-0322
ACT-000055,USR-02681,2025-06-01,Interacción con Contenido,31.0,CONT-0326
ACT-000056,USR-05884,2025-07-30,inicio de sesion,27.0,CONT-0392
ACT-000057,USR-06704,2025-04-06,Interacción con Contenido,86.0,CONT-0488
ACT-000058,USR-04507,2025-02-26,inicio de sesion,85.0,CONT-0267
ACT-000059,USR-02125,2025-08-06,Sesión de Entrenamiento Completada,,CONT-0233
ACT-000060,USR-01890,2025-01-13,Sesión de Entrenamiento Completada,6.0,CONT-0079
ACT-000061,USR-04764,2025-01-15,inicio de sesion,49.0,CONT-0244
ACT-000062,USR-02428,2025-06-01,inicio de sesion,76.0,CONT-0098
ACT-000063,USR-01485,2024-11-26,Sesión de Entrenamiento Completada,31.0,CONT-0235
ACT-000064,USR-01595,2025-01-27,Interacción con Contenido,88.0,CONT-0149
ACT-000065,USR-01331,2024-11-28,Sesión de Entrenamiento Completada,48.0,CONT-0424
ACT-000066,USR-07018,2025-07-02,Interacción con Contenido,17.0,CONT-0111
ACT-000067,USR-07376,2025-03-13,Sesión de Entrenamiento Completada,73.0,CONT-0246
ACT-000068,USR-00384,2024-12-11,Sesión de Entrenamiento Completada,81.0,CONT-0483
ACT-000069,USR-04564,2025-03-23,inicio de sesion,53.0,CONT-0092
ACT-000070,USR-01960,2025-04-05,inicio de sesion,33.0,CONT-0147
ACT-000071,USR-03809,2024-12-25,Sesión de Entrenamiento Completada,18.0,CONT-0436
ACT-000072,USR-04910,2025-07-10,Interacción con Contenido,66.0,CONT-0092
ACT-000073,USR-01554,2025-04-30,Interacción con Contenido,34.0,CONT-0253
ACT-000074,USR-00231,2024-10-10,inicio de sesion,8.0,CONT-0062
ACT-000075,USR-05071,2024-11-15,inicio de sesion,30.0,CONT-0202
ACT-000076,USR-07350,2025-07-06,Interacción con Contenido,62.0,CONT-0250
ACT-000077,USR-04883,2024-12-20,inicio de sesion,19.0,CONT-0427
ACT-000078,USR-03362,2025-08-26,Interacción con Contenido,52.0,CONT-0271
ACT-000079,USR-02230,2024-11-17,Interacción con Contenido,68.0,CONT-0271
ACT-000080,USR-07939,2024-12-29,inicio de sesion,41.0,CONT-0014
ACT-000081,USR-03193,2025-04-08,inicio de sesion,6.0,CONT-0456
ACT-000082,USR-01194,2025-05-14,inicio de sesion,35.0,CONT-0210
ACT-000083,USR-03121,2025-09-04,Sesión de Entrenamiento Completada,25.0,CONT-0452
ACT-000084,USR-07117,2025-04-30,inicio de sesion,41.0,CONT-0031
ACT-000085,USR-01873,2025-08-09,inicio de sesion,51.0,CONT-0128
ACT-000086,USR-05460,2025-09-05,inicio de sesion,29.0,CONT-0301
ACT-000087,USR-00737,2024-09-15,inicio de sesion,9.0,CONT-0418
ACT-000088,USR-02994,2025-03-01,inicio de sesion,5.0,CONT-0163
ACT-000089,USR-01909,2024-10-28,inicio de sesion,36.0,CONT-0398
ACT-000090,USR-02211,2025-05-25,inicio de sesion,67.0,CONT-0152
ACT-000091,USR-07250,2025-06-13,Interacción con Contenido,77.0,CONT-0303
ACT-000092,USR-05593,2025-07-16,Interacción con Contenido,82.0,CONT-0237
ACT-000093,USR-03502,2025-08-07,Interacción con Contenido,24.0,CONT-0279
ACT-000094,USR-03841,2025-07-23,Sesión de Entrenamiento Completada,19.0,CONT-0107
ACT-000095,USR-03603,2024-12-01,inicio de sesion,26.0,CONT-0115
ACT-000096,USR-04418,2024-10-27,Sesión de Entrenamiento Completada,74.0,CONT-0279
ACT-000097,USR-00374,2024-11-14,Interacción con Contenido,53.0,CONT-0388
ACT-000098,USR-07383,2024-10-29,Interacción con Contenido,14.0,CONT-0282
ACT-000099,USR-02391,2025-08-15,Sesión de Entrenamiento Completada,40.0,CONT-0350
ACT-000100,USR-07487,2024-09-28,inicio de sesion,16.0,CONT-0119
ACT-000101,USR-00606,2025-04-18,inicio de sesion,82.0,CONT-0365
ACT-000102,USR-04905,2024-10-03,Sesión de Entrenamiento Completada,74.0,CONT-0270
ACT-000103,USR-05595,2025-05-22,inicio de sesion,75.0,CONT-0094
ACT-000104,USR-03971,2024-09-22,Interacción con Contenido,30.0,CONT-0195
ACT-000105,USR-05193,2025-07-18,inicio de sesion,85.0,CONT-0027
ACT-000106,USR-04009,2024-09-20,inicio de sesion,15.0,CONT-0086
ACT-000107,USR-00647,2025-05-29,Interacción con Contenido,20.0,CONT-0109
ACT-000108,USR-05310,2025-08-29,Interacción con Contenido,39.0,CONT-0414
ACT-000109,USR-05753,2024-11-23,Sesión de Entrenamiento Completada,1.0,CONT-0183
ACT-000110,USR-07601,2024-10-23,Interacción con Contenido,72.0,CONT-0336
ACT-000111,USR-02087,2025-07-16,inicio de sesion,74.0,CONT-0067
ACT-000112,USR-03705,2024-12-11,Interacción con Contenido,85.0,CONT-0109
ACT-000113,USR-07082,2024-12-31,Sesión de Entrenamiento Completada,46.0,CONT-0228
ACT-000114,USR-04824,2024-12-19,Interacción con Contenido,56.0,CONT-0314
ACT-000115,USR-06735,2025-05-12,inicio de sesion,61.0,CONT-0449
ACT-000116,USR-01019,2024-10-02,inicio de sesion,21.0,CONT-0397
ACT-000117,USR-02713,2025-04-21,inicio de sesion,77.0,CONT-0364
ACT-000118,USR-03239,2025-07-28,Sesión de Entrenamiento Completada,16.0,CONT-0226
ACT-000119,USR-01056,2024-12-16,inicio de sesion,32.0,CONT-0082
ACT-000120,USR-01968,2025-04-07,Sesión de Entrenamiento Completada,39.0,CONT-0301
ACT-000121,USR-02830,2025-04-14,Interacción con Contenido,32.0,CONT-0111
ACT-000122,USR-06857,2025-01-28,Sesión de Entrenamiento Completada,32.0,CONT-0175
ACT-000123,USR-04038,2025-03-16,inicio de sesion,40.0,CONT-0493
ACT-000124,USR-06225,2025-07-23,Interacción con Contenido,31.0,CONT-0101
ACT-000125,USR-07169,2024-11-02,Sesión de Entrenamiento Completada,81.0,CONT-0425
ACT-000126,USR-02390,2024-11-12,Interacción con Contenido,81.0,CONT-0464
ACT-000127,USR-04368,2025-08-17,Interacción con Contenido,87.0,CONT-0465
ACT-000128,USR-04492,2025-08-21,Sesión de Entrenamiento Completada,67.0,CONT-0440
ACT-000129,USR-06212,2025-06-26,Sesión de Entrenamiento Completada,73.0,CONT-0254
ACT-000130,USR-01058,2024-10-07,inicio de sesion,37.0,CONT-0032
ACT-000131,USR-04191,2025-08-10,Interacción con Contenido,18.0,CONT-0021
ACT-000132,USR-00336,2024-11-17,inicio de sesion,42.0,CONT-0309
ACT-000133,USR-03829,2024-09-14,inicio de sesion,5.0,CONT-0369
ACT-000134,USR-07344,2025-03-30,Interacción con Contenido,50.0,CONT-0092
ACT-000135,USR-07440,2024-12-06,inicio de sesion,60.0,CONT-0084
ACT-000136,USR-01501,2025-01-11,Sesión de Entrenamiento Completada,27.0,CONT-0360
ACT-000137,USR-05074,2025-04-15,Sesión de Entrenamiento Completada,5.0,CONT-0315
ACT-000138,USR-00338,2025-02-15,Interacción con Contenido,,CONT-0294
ACT-000139,USR-05612,2025-08-09,Sesión de Entrenamiento Completada,13.0,CONT-0278
ACT-000140,USR-06325,2025-01-04,inicio de sesion,89.0,CONT-0030
ACT-000141,USR-01957,2025-07-17,inicio de sesion,67.0,CONT-0461
ACT-000142,USR-05461,2024-10-21,inicio de sesion,41.0,CONT-0420
ACT-000143,USR-01037,2024-10-30,inicio de sesion,26.0,CONT-0425
ACT-000144,USR-04301,2024-09-28,Sesión de Entrenamiento Completada,48.0,CONT-0054
ACT-000145,USR-03788,2025-03-08,Sesión de Entrenamiento Completada,13.0,CONT-0005
ACT-000146,USR-04392,2025-02-08,Interacción con Contenido,24.0,CONT-0384
ACT-000147,USR-05381,2025-02-02,Sesión de Entrenamiento Completada,56.0,CONT-0248
ACT-000148,USR-01955,2025-09-01,Interacción con Contenido,66.0,CONT-0266
ACT-000149,USR-02344,2025-02-18,Interacción con Contenido,24.0,CONT-0012
ACT-000150,USR-02951,2025-07-09,inicio de sesion,9.0,CONT-0458
ACT-000151,USR-01804,2025-06-23,Interacción con Contenido,71.0,CONT-0130
ACT-000152,USR-03489,2025-01-21,inicio de sesion,75.0,CONT-0034
ACT-000153,USR-01648,2025-01-27,Sesión de Entrenamiento Completada,60.0,CONT-0236
ACT-000154,USR-04569,2024-12-06,Sesión de Entrenamiento Completada,38.0,CONT-0036
ACT-000155,USR-02100,2024-11-23,Interacción con Contenido,86.0,CONT-0473
ACT-000156,USR-06779,2024-10-28,Sesión de Entrenamiento Completada,48.0,CONT-0036
ACT-000157,USR-05075,2024-10-31,Sesión de Entrenamiento Completada,12.0,CONT-0157
ACT-000158,USR-01318,2025-08-06,Sesión de Entrenamiento Completada,,CONT-0420
ACT-000159,USR-01752,2025-08-13,Sesión de Entrenamiento Completada,78.0,CONT-0365
ACT-000160,USR-04406,2025-01-26,inicio de sesion,39.0,CONT-0063
ACT-000161,USR-03949,2024-12-24,inicio de sesion,,CONT-0242
ACT-000162,USR-06389,2024-11-18,inicio de sesion,66.0,CONT-0251
ACT-000163,USR-04924,2025-01-28,Interacción con Contenido,84.0,CONT-0326
ACT-000164,USR-04747,2025-03-25,Sesión de Entrenamiento Completada,56.0,CONT-0420
ACT-000165,USR-07375,2025-05-27,Sesión de Entrenamiento Completada,55.0,
ACT-000166,USR-01939,2025-03-02,Interacción con Contenido,62.0,CONT-0450
ACT-000167,USR-00067,2025-08-06,Interacción con Contenido,21.0,CONT-0188
ACT-000168,USR-00885,2025-05-10,inicio de sesion,6.0,CONT-0046
ACT-000169,USR-04633,2024-09-12,Sesión de Entrenamiento Completada,35.0,CONT-0486
ACT-000170,USR-04615,2025-04-07,Sesión de Entrenamiento Completada,15.0,CONT-0298
ACT-000171,USR-01375,2025-08-07,Sesión de Entrenamiento Completada,16.0,CONT-0196
ACT-000172,USR-01088,2024-10-16,Interacción con Contenido,5.0,CONT-0484
ACT-000173,USR-00401,2024-11-24,Interacción con Contenido,64.0,CONT-0331
ACT-000174,USR-01927,2025-08-27,Sesión de Entrenamiento Completada,16.0,CONT-0201
ACT-000175,USR-07836,2024-12-27,Interacción con Contenido,5.0,CONT-0277
ACT-000176,USR-00645,2024-11-11,Interacción con Contenido,81.0,CONT-0321
ACT-000177,USR-04260,2024-11-28,Interacción con Contenido,86.0,CONT-0095
ACT-000178,USR-04753,2025-08-02,inicio de sesion,23.0,CONT-0389
ACT-000179,USR-03722,2025-07-10,inicio de sesion,38.0,CONT-0397
ACT-000180,USR-04309,2025-08-05,Sesión de Entrenamiento Completada,10.0,CONT-0500
ACT-000181,USR-03039,2025-06-10,inicio de sesion,31.0,CONT-0439
ACT-000182,USR-03746,2025-06-10,Sesión de Entrenamiento Completada,31.0,CONT-0111
ACT-000183,USR-05950,2025-03-08,Sesión de Entrenamiento Completada,12.0,CONT-0142
ACT-000184,USR-01398,2025-08-11,inicio de sesion,21.0,CONT-0403
ACT-000185,USR-00900,2025-05-29,Sesión de Entrenamiento Completada,78.0,CONT-0143
ACT-000186,USR-05689,2025-03-22,inicio de sesion,17.0,CONT-0479
ACT-000187,USR-02070,2025-06-19,inicio de sesion,62.0,CONT-0407
ACT-000188,USR-03244,2025-04-28,Sesión de Entrenamiento Completada,77.0,CONT-0447
ACT-000189,USR-04787,2025-02-10,inicio de sesion,77.0,CONT-0246
ACT-000190,USR-06465,2024-09-22,inicio de sesion,84.0,CONT-0215
ACT-000191,USR-03581,2024-10-05,Interacción con Contenido,7.0,CONT-0412
ACT-000192,USR-04808,2025-07-31,Sesión de Entrenamiento Completada,65.0,CONT-0331
ACT-000193,USR-02804,2025-04-19,Sesión de Entrenamiento Completada,87.0,CONT-0146
ACT-000194,USR-07419,2024-12-11,Interacción con Contenido,60.0,CONT-0479
ACT-000195,USR-01906,2025-02-16,Interacción con Contenido,22.0,CONT-0151
ACT-000196,USR-05645,2025-01-20,inicio de sesion,44.0,CONT-0386
ACT-000197,USR-02907,2025-05-02,inicio de sesion,50.0,CONT-0294
ACT-000198,USR-06293,2025-01-18,Sesión de Entrenamiento Completada,14.0,CONT-0189
ACT-000199,USR-01969,2025-05-06,Sesión de Entrenamiento Completada,79.0,CONT-0340
ACT-000200,USR-07022,2025-07-04,inicio de sesion,43.0,CONT-0494
ACT-000201,USR-04165,2025-03-04,inicio de sesion,11.0,CONT-0368
ACT-000202,USR-01124,2025-09-01,Sesión de Entrenamiento Completada,85.0,CONT-0064
ACT-000203,USR-05913,2024-09-29,Sesión de Entrenamiento Completada,32.0,CONT-0324
ACT-000204,USR-06308,2024-11-27,Interacción con Contenido,78.0,CONT-0347
ACT-000205,USR-01942,2025-07-31,Sesión de Entrenamiento Completada,47.0,CONT-0486
ACT-000206,USR-02835,2024-10-17,Sesión de Entrenamiento Completada,35.0,CONT-0339
ACT-000207,USR-02054,2024-09-19,Interacción con Contenido,26.0,CONT-0010
ACT-000208,USR-07345,2025-03-22,inicio de sesion,4.0,
ACT-000209,USR-06801,2025-02-20,inicio de sesion,13.0,CONT-0346
ACT-000210,USR-07357,2024-11-30,Sesión de Entrenamiento Completada,51.0,CONT-0377
ACT-000211,USR-00750,2024-10-14,Interacción con Contenido,3.0,CONT-0402
ACT-000212,USR-06926,2025-09-09,inicio de sesion,10.0,CONT-0407
ACT-000213,USR-06056,2025-07-09,Sesión de Entrenamiento Completada,4.0,CONT-0087
ACT-000214,USR-07479,2024-12-08,inicio de sesion,50.0,CONT-0477
ACT-000215,USR-03808,2025-08-26,inicio de sesion,21.0,CONT-0375
ACT-000216,USR-04478,2025-05-08,inicio de sesion,56.0,CONT-0130
ACT-000217,USR-03566,2025-08-02,Sesión de Entrenamiento Completada,11.0,CONT-0360
ACT-000218,USR-01473,2024-12-03,Interacción con Contenido,31.0,CONT-0105
ACT-000219,USR-03062,2025-03-14,inicio de sesion,61.0,CONT-0276
ACT-000220,USR-04825,2025-02-03,inicio de sesion,43.0,CONT-0351
ACT-000221,USR-06854,2025-05-18,Interacción con Contenido,3.0,CONT-0220
ACT-000222,USR-03322,2024-11-12,inicio de sesion,64.0,CONT-0041
ACT-000223,USR-02901,2025-03-10,Interacción con Contenido,11.0,CONT-0394
ACT-000224,USR-01045,2024-12-10,inicio de sesion,75.0,CONT-0007
ACT-000225,USR-07217,2025-01-03,inicio de sesion,60.0,CONT-0053
ACT-000226,USR-07780,2025-03-03,inicio de sesion,74.0,CONT-0069
ACT-000227,USR-07739,2024-11-13,inicio de sesion,33.0,CONT-0474
ACT-000228,USR-00908,2025-05-07,inicio de sesion,80.0,CONT-0494
ACT-000229,USR-00065,2025-08-23,Interacción con Contenido,57.0,CONT-0365
ACT-000230,USR-00787,2025-01-30,Sesión de Entrenamiento Completada,80.0,CONT-0111
ACT-000231,USR-07868,2024-11-25,inicio de sesion,28.0,CONT-0403
ACT-000232,USR-03658,2024-11-09,Interacción con Contenido,70.0,CONT-0103
ACT-000233,USR-05238,2024-11-13,Interacción con Contenido,14.0,CONT-0038
ACT-000234,USR-07066,2025-08-22,Interacción con Contenido,50.0,CONT-0475
ACT-000235,USR-03967,2025-06-30,Sesión de Entrenamiento Completada,1.0,CONT-0208
ACT-000236,USR-06453,2025-06-07,Sesión de Entrenamiento Completada,88.0,CONT-0147
ACT-000237,USR-06732,2025-04-25,Sesión de Entrenamiento Completada,70.0,CONT-0219
ACT-000238,USR-04254,2025-01-30,Sesión de Entrenamiento Completada,45.0,CONT-0417
ACT-000239,USR-03915,2024-10-21,inicio de sesion,83.0,CONT-0226
ACT-000240,USR-04587,2025-02-10,inicio de sesion,47.0,CONT-0354
ACT-000241,USR-04726,2024-12-28,inicio de sesion,68.0,CONT-0019
ACT-000242,USR-05532,2025-02-25,Sesión de Entrenamiento Completada,12.0,CONT-0151
ACT-000243,USR-04616,2025-06-16,Sesión de Entrenamiento Completada,8.0,CONT-0233
ACT-000244,USR-07062,2024-11-01,Sesión de Entrenamiento Completada,4.0,CONT-0278
ACT-000245,USR-02587,2025-04-01,inicio de sesion,,CONT-0136
ACT-000246,USR-05317,2025-06-27,Interacción con Contenido,74.0,CONT-0221
ACT-000247,USR-04855,2024-12-05,Interacción con Contenido,64.0,CONT-0154
ACT-000248,USR-00207,2025-03-15,Sesión de Entrenamiento Completada,40.0,CONT-0037
ACT-000249,USR-05590,2024-11-25,Sesión de Entrenamiento Completada,12.0,CONT-0428
ACT-000250,USR-07462,2025-04-15,inicio de sesion,43.0,CONT-0325
ACT-000251,USR-05710,2025-01-06,Interacción con Contenido,8.0,CONT-0249
ACT-000252,USR-03653,2024-10-23,Sesión de Entrenamiento Completada,34.0,CONT-0028
ACT-000253,USR-07803,2025-02-03,inicio de sesion,18.0,CONT-0074
ACT-000254,USR-03021,2025-04-15,inicio de sesion,3.0,CONT-0438
ACT-000255,USR-02448,2024-11-07,Interacción con Contenido,7.0,CONT-0437
ACT-000256,USR-07467,2024-11-17,inicio de sesion,65.0,CONT-0393
ACT-000257,USR-02751,2025-05-14,Interacción con Contenido,48.0,CONT-0279
ACT-000258,USR-01930,2025-09-05,inicio de sesion,69.0,CONT-0085
ACT-000259,USR-04489,2025-06-30,inicio de sesion,45.0,CONT-0101
ACT-000260,USR-04240,2024-10-30,Interacción con Contenido,50.0,CONT-0025
ACT-000261,USR-04493,2025-04-17,Sesión de Entrenamiento Completada,75.0,CONT-0021
ACT-000262,USR-06778,2025-08-16,Interacción con Contenido,41.0,CONT-0429
ACT-000263,USR-01151,2025-05-07,inicio de sesion,12.0,CONT-0166
ACT-000264,USR-05464,2025-01-04,Interacción con Contenido,56.0,CONT-0023
ACT-000265,USR-07193,2024-12-31,Sesión de Entrenamiento Completada,23.0,CONT-0135
ACT-000266,USR-04415,2025-04-12,inicio de sesion,4.0,CONT-0032
ACT-000267,USR-06430,2024-12-13,inicio de sesion,25.0,CONT-0446
ACT-000268,USR-05430,2025-03-02,Sesión de Entrenamiento Completada,69.0,CONT-0076
ACT-000269,USR-07013,2024-09-27,inicio de sesion,2.0,CONT-0392
ACT-000270,USR-04735,2024-11-24,inicio de sesion,83.0,CONT-0212
ACT-000271,USR-02043,2025-03-08,inicio de sesion,85.0,CONT-0473
ACT-000272,USR-06182,2024-10-16,inicio de sesion,88.0,CONT-0417
ACT-000273,USR-04512,2025-02-08,inicio de sesion,44.0,CONT-0375
ACT-000274,USR-00238,2025-07-13,Interacción con Contenido,47.0,
ACT-000275,USR-06982,2025-07-04,inicio de sesion,12.0,CONT-0034
ACT-000276,USR-06471,2024-11-05,Interacción con Contenido,67.0,CONT-0361
ACT-000277,USR-07745,2024-09-27,inicio de sesion,25.0,CONT-0153
ACT-000278,USR-02099,2025-06-04,Interacción con Contenido,11.0,CONT-0211
ACT-000279,USR-00865,2025-07-15,inicio de sesion,45.0,CONT-0481
ACT-000280,USR-05082,2025-01-17,inicio de sesion,6.0,CONT-0364
ACT-000281,USR-02183,2025-03-22,Interacción con Contenido,74.0,CONT-0130
ACT-000282,USR-00949,2024-09-30,Interacción con Contenido,48.0,CONT-0225
ACT-000283,USR-03952,2025-05-13,Interacción con Contenido,29.0,CONT-0270
ACT-000284,USR-01141,2025-05-12,Sesión de Entrenamiento Completada,30.0,CONT-0025
ACT-000285,USR-05381,2024-12-28,Sesión de Entrenamiento Completada,27.0,CONT-0454
ACT-000286,USR-04222,2025-06-09,Interacción con Contenido,22.0,CONT-0477
ACT-000287,USR-02425,2024-10-15,inicio de sesion,9.0,CONT-0447
ACT-000288,USR-03701,2025-03-16,inicio de sesion,54.0,CONT-0323
ACT-000289,USR-02862,2024-09-21,Sesión de Entrenamiento Completada,59.0,CONT-0128
ACT-000290,USR-00157,2025-03-18,Sesión de Entrenamiento Completada,12.0,CONT-0213
ACT-000291,USR-05582,2025-01-21,Sesión de Entrenamiento Completada,60.0,CONT-0266
ACT-000292,USR-06123,2024-12-03,inicio de sesion,46.0,CONT-0015
ACT-000293,USR-01027,2025-01-09,inicio de sesion,7.0,CONT-0145
ACT-000294,USR-03788,2025-07-24,inicio de sesion,19.0,CONT-0456
ACT-000295,USR-00373,2024-12-09,Sesión de Entrenamiento Completada,48.0,CONT-0166
ACT-000296,USR-00136,2024-10-30,Interacción con Contenido,28.0,CONT-0466
ACT-000297,USR-02739,2025-04-01,inicio de sesion,22.0,CONT-0142
ACT-000298,USR-00004,2025-07-26,Sesión de Entrenamiento Completada,19.0,CONT-0416
ACT-000299,USR-03910,2024-09-12,Interacción con Contenido,85.0,CONT-0162
ACT-000300,USR-01467,2025-02-09,Sesión de Entrenamiento Completada,15.0,CONT-0202
ACT-000301,USR-06403,2025-01-12,inicio de sesion,11.0,CONT-0232
ACT-000302,USR-00724,2025-04-29,inicio de sesion,86.0,CONT-0427
ACT-000303,USR-05976,2024-09-29,Interacción con Contenido,49.0,CONT-0280
ACT-000304,USR-05033,2025-05-06,Interacción con Contenido,13.0,CONT-0488
ACT-000305,USR-05788,2025-05-05,Interacción con Contenido,10.0,CONT-0138
ACT-000306,USR-06482,2025-03-30,inicio de sesion,53.0,CONT-0190
ACT-000307,USR-05704,2024-10-16,Sesión de Entrenamiento Completada,79.0,CONT-0261
ACT-000308,USR-03558,2024-09-17,inicio de sesion,21.0,CONT-0103
ACT-000309,USR-06361,2025-05-22,Sesión de Entrenamiento Completada,34.0,
ACT-000310,USR-03401,2025-04-15,Interacción con Contenido,13.0,CONT-0220
ACT-000311,USR-02079,2024-10-20,inicio de sesion,56.0,CONT-0299
ACT-000312,USR-02347,2025-03-19,inicio de sesion,68.0,CONT-0087
ACT-000313,USR-00764,2025-02-18,inicio de sesion,38.0,CONT-0430
ACT-000314,USR-05715,2025-04-08,Sesión de Entrenamiento Completada,67.0,CONT-0328
ACT-000315,USR-05453,2025-06-25,Interacción con Contenido,29.0,CONT-0309
ACT-000316,USR-01095,2025-04-28,Sesión de Entrenamiento Completada,31.0,CONT-0335
ACT-000317,USR-02332,2025-06-01,Sesión de Entrenamiento Completada,38.0,CONT-0016
ACT-000318,USR-06208,2025-03-07,Sesión de Entrenamiento Completada,78.0,CONT-0241
ACT-000319,USR-04197,2025-08-20,Interacción con Contenido,84.0,CONT-0168
ACT-000320,USR-02155,2025-07-15,Sesión de Entrenamiento Completada,70.0,CONT-0448
ACT-000321,USR-02940,2025-06-30,Interacción con Contenido,46.0,CONT-0085
ACT-000322,USR-06732,2025-06-02,inicio de sesion,78.0,CONT-0198
ACT-000323,USR-01065,2025-01-21,Interacción con Contenido,35.0,CONT-0385
ACT-000324,USR-02663,2024-12-12,Interacción con Contenido,37.0,CONT-0189
ACT-000325,USR-03728,2025-03-23,Interacción con Contenido,46.0,CONT-0482
ACT-000326,USR-06697,2024-11-26,Sesión de Entrenamiento Completada,61.0,CONT-0053
ACT-000327,USR-05177,2025-08-10,inicio de sesion,22.0,CONT-0204
ACT-000328,USR-03248,2024-12-08,Interacción con Contenido,,CONT-0117
ACT-000329,USR-04241,2025-02-25,inicio de sesion,26.0,CONT-0371
ACT-000330,USR-02078,2024-10-05,inicio de sesion,2.0,CONT-0159
ACT-000331,USR-00395,2025-01-11,Sesión de Entrenamiento Completada,51.0,CONT-0432
